"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Gato Roboto","Doinksoft","Devolver Digital","May 30, 2019","[585][586][587]"
"Gear.Club Unlimited","Eden Games","Microids","November 21, 2017",""
"Gear.Club Unlimited 2","Eden Games","Microids","December 4, 2018",""
"Gekido: Kintaro's Revenge","Naps Team","Naps Team","March 22, 2018",""
"Gelly Break","ByteRockers' Games","Wild River","November 29, 2018","[588][67]"
"Gem Smashers","Treva Entertainment","Treva Entertainment","March 15, 2018",""
"Gems of War","Infinite Interactive","505 Games","March 26, 2019","[589][590]"
"Gemstone Keeper","Gamepopper","Gamepopper","November 27, 2019","[591]"
"Genkai Tokki: Seven Pirates H","Felistella","JP: Compile HeartWW: Eastasiasoft","February 3, 2022",""
"Genshin Impact","miHoYo","miHoYo","TBA",""
"Gensō Rōgoku no Kaleidoscope","07th Expansion","Entergram","December 17, 2020",""
"Gensou Shoujo Wars","Sanbondo","Sanbondo, Phoenixx","2022","[592]"
"Gensou SkyDrift","illuCalab","Unties","December 12, 2019","[593]"
"Georifters","Busy Toaster Games","Leoful","September 18, 2020","[594]"
"Gerda: A Flame in Winter","PortaPlay","Dontnod Entertainment","2022","[595]"
"Gesshizu: Mori no Chiisana Nakama-tachi","Nippon Columbia","Nippon Columbia","July 22, 2020","[596]"
"Get 10 Quest","Inlogic Games","Fantastico Studio","July 17, 2020","[597]"
"Get Me Outta Here","Rossman Bros Games","QubicGames","November 30, 2019","[598]"
"Getsu Fūma Den: Undying Moon","GuruGuru","Konami","February 9, 2022",""
"Ghost 1.0","unepic_fran","Francis Cota","July 12, 2018",""
"Ghost Blade HD","Hucast","2Dream","October 24, 2019","[599]"
"Ghost Parade","Lentera","JP: FuRyuWW: Aksys Games","October 31, 2019","[600][601]"
"Ghost Trick: Phantom Detective","Capcom","Capcom","June 30, 2023","[602]"
"Ghostanoid","Qplaze","JoyBits","January 21, 2021",""
"Ghostbusters: Spirits Unleashed – Ecto Edition","IllFonic","IllFonic","2023","[603]"
"Ghostbusters: The Video Game Remastered","Saber Interactive","JP: H2 InteractiveWW: Mad Dog Games","October 4, 2019",""
"Ghost of a Tale","SeithCG","Plug In Digital","October 8, 2020",""
"Ghostrunner","One More Level, 3D Realms, Slipgate Ironworks","All in! Games, 505 Games","December 9, 2020",""
"Ghosts 'n Goblins Resurrection","Capcom","Capcom","February 25, 2021",""
"Ghoulboy: Dark Sword of Goblin","Serkan Bakar","Serkan Bakar","February 14, 2019","[604][605]"
"Ghoul Patrol","Dotemu","Lucasfilm Games","June 29, 2021",""
"G.I. Joe: Operation Blackout","IguanaBee","NA: GameMill EntertainmentEU: Maximum Games","October 13, 2020",""
"GigaBash","Passion Republic","Passion Republic","TBA","[606]"
"Giana Sisters: Twisted Dreams","Black Forest Games","THQ Nordic, HandyGames","September 27, 2018",""
"Gibbous: A Cthulhu Adventure","Stuck in Attic","Stuck in Attic","October 21, 2020",""
"Giga Wrecker Alt.","Game Freak","Rising Star Games","May 2, 2019",""
"Gigantic Army","Storybird","JP: Flyhigh WorksWW: Storybird","February 21, 2019","[62][63][607]"
"Gigantosaurus: The Game","Cyber Group Studios","Outright Games","March 27, 2020",""
"Gimmick! 2","Bitwave Games","Clear River Games, Sunsoft","September 5, 2024","[608]"
"Ginger: Beyond the Crystal","Drakhar Studio","BadLand Games","November 17, 2017","[609]"
"Ginsei Shogi: KyoutenDotou FuRaiJin","Silver Star Japan","Silver Star Japan","April 27, 2017","[610]"
"Giraffe and Annika","Atelier Mimina","JP: PlayismWW: NIS America","August 25, 2020","[611][612]"
"Glaive: Brick Breaker","Blue Sunset Games","Blue Sunset Games","April 26, 2018","[613]"
"Glass Masquerade","Onyx Lute","Digerati","February 8, 2019","[614]"
"Glass Masquerade 2: Illusions","Onyx Lute","Digerati","February 13, 2020","[225][226]"
"Gleamlight","Dico","D3 Publisher","August 20, 2020","[615][616][617]"
"Gley Lancer","Masaya, Shinyuden","Ratalaika Games","October 15, 2021",""
"Glitched","En House Studios","Digerati","2022","[618]"
"Gloria Union: Twin Fates in Blue Ocean FHD Edition","Sting Entertainment","Atlus","March 18, 2021",""
"Gnomes Garden: New Home","8Floor Games","8Floor Games","February 7, 2019","[460]"
"Gnosia","Petit Depotto","Petit Depotto","April 30, 2020",""
"Go All Out!","Forever Entertainment","Forever Entertainment","February 13, 2020","[135][136]"
"Go Vacation","Bandai Namco Studios","Nintendo","July 27, 2018",""
"Goat Simulator: The GOATY","Coffee Stain Studios","Double Eleven","January 23, 2019",""
"Goblin Sword","Gelato Games","JP: Rainy FrogWW: Gelato Games","February 13, 2020","[225][226][619]"
"God Eater 3","Marvelous First Studio","Bandai Namco Entertainment","July 11, 2019",""
"God of Rock","Modus Studios Brazil","Modus Games","April 18, 2023",""
"God Wars: The Complete Legend","Kadokawa Shoten","JP: Kadokawa ShotenWW: NIS America","June 14, 2018",""
"Gods Remastered","Robot Riot","Robot Riot","March 28, 2019",""
"Gods Will Fall","Clever Beans","Deep Silver","January 29, 2021",""
"Goetia","Sushee","Square Enix","April 26, 2018",""
"Going Under","Aggro Crab Games","Team17","September 24, 2020","[620]"
"Golden Force","Storybird Studio","Just For Games, PixelHeart","January 28, 2021","[621]"
"Golem Gates","Laser Guided Games","Digerati","May 31, 2019","[585][586]"
"The Golf","X-Stream Digital","D3 Publisher","February 14, 2019","[62][63]"
"Golf Club: Wasteland","Demagog Studios","Untold Tales","September 3, 2021","[622]"
"Golf Peaks","Afterburn","JP: Flyhigh WorksWW: 7Levels","March 14, 2019","[415][167][623]"
"Golf Story","Sidebar Games","Sidebar Games","September 28, 2017",""
"Golf with Your Friends","Blacklight Interactive","Team17","May 19, 2020",""
"Golf Zero","Colin Lane Games","Ratalaika Games","September 11, 2020",""
"Gone Home","Fullbright","Fullbright","September 6, 2018",""
"Gonner","Art in Heart","Raw Fury","June 29, 2017",""
"Gonner 2","Art in Heart","Raw Fury","October 22, 2020",""
"Good Job!","Paladin","Nintendo","March 26, 2020",""
"The Good Life","White Owls","Playism","October 15, 2021","[624]"
"Good Pizza, Great Pizza","TapBlaze","PM Studios","September 3, 2020","[625][626]"
"Goonya Fighter","Mutan","Mutan","June 27, 2019","[117][118][627]"
"Goosebumps: The Game","WayForward","GameMill Entertainment","October 9, 2018","[628]"
"Gori: Cuddly Carnage","Angry Demon Studio","Wired Productions","August 29, 2024",""
"Gorogoa","Buried Signal","Annapurna Interactive","December 14, 2017",""
"Gotcha Racing 2nd","Arc System Works","Arc System Works","March 29, 2018","[629]"
"Gothic Classic","Piranha Bytes","THQ Nordic","September 28, 2023","[630]"
"Gothic Murder: Adventure That Changes Destiny","Orange","Orange","March 12, 2020","[631]"
"Gotouchi Tetsudou","Grounding","Bandai Namco Entertainment","February 22, 2018","[632]"
"Graceful Explosion Machine","Vertex Pop","Vertex Pop","April 6, 2017",""
"Grand Brix Shooter","Intragames","Intragames","August 29, 2019","[274][275]"
"Grand Exile","Studio Pico","Studio Pico","TBA","[633]"
"Grand Guilds","Keybol Games","Keybol Games","March 26, 2020","[91][122]"
"Grand Prix Rock 'N Racing","EnjoyUp Games","JP: StarsignWW: EnjoyUp Games","January 4, 2018","[634]"
"Grand Theft Auto: The Trilogy – The Definitive Edition","Grove Street Games","Rockstar Games","November 11, 2021",""
"Grandia HD Collection","Game Arts","GungHo Online Entertainment","August 16, 2019",""
"Grandpa and the Zombies","Tivola, TWP","Tivola","September 12, 2018","[635][636]"
"Grapple Dog","Medallion Games","Super Rare Games","October 27, 2022","[637]"
"Grave Danger","Spotted Shark Studios","Spotted Shark Studios","June 28, 2018","[638]"
"Graven","Slipgate Ironworks","3D Realms, 1C Entertainment","2022",""
"Graveyard Keeper","Lazy Bear Games","TinyBuild","June 27, 2019",""
"Gravity Heroes","Studica Solutions","PQube","January 22, 2021",""
"Graze Counter GM","Bikkuri Software","Henteko Doujin","TBA","[639]"
"Greak: Memories of Azur","Navegante Entertainment","Team17","August 17, 2021","[640]"
"The Great Ace Attorney Chronicles","Capcom","Capcom","July 27, 2021",""
"The Great Perhaps","Caligari Games","Drageus Games","July 10, 2020","[641]"
"Green Game: TimeSwapper","iFun4all","iFun4all","November 17, 2017","[642]"
"Grey Skies: A War of the Worlds Story","Steel Arts Software","Steel Arts Software","February 4, 2021",""
"Grid Autosport","Codemasters","Feral Interactive","September 19, 2019",""
"Grid Mania","FX Valley","QubicGames","March 2, 2018","[643]"
"Griftlands","Klei Entertainment","Klei Entertainment","June 4, 2021",""
"Grime","Clover Bite","Akupara Games","2022","[644]"
"Grim Fandango Remastered","Double Fine Productions","Double Fine Productions","November 1, 2018",""
"GrimGrimoire OnceMore","Vanillaware","Nippon Ichi Software","July 28, 2022",""
"Grimvalor","Direlight","Direlight","April 7, 2020","[645]"
"Grindstone","Capybara Games","Capybara Games","December 15, 2020","[646]"
"Grip: Combat Racing","Caged Element","Wired Productions","November 6, 2018",""
"Gripper","OctoBox Interactive","OctoBox Interactive","TBA","[647]"
"Gris","Nomada Studio","Devolver Digital","December 13, 2018",""
"The Grisaia Trilogy","Frontwing","Prototype","November 7, 2019",""
"Grisaia: Phantom Trigger Vol. 01&02","Frontwing","Prototype","June 25, 2020","[648]"
"Grisaia: Phantom Trigger Vol. 03","Frontwing","Prototype","July 22, 2020","[649]"
"Grisaia: Phantom Trigger Vol. 04","Frontwing","Prototype","September 17, 2020","[650]"
"Grisaia: Phantom Trigger Vol. 05","Frontwing","Prototype","November 19, 2020","[651]"
"Grisaia: Phantom Trigger Vol. 5.5","Frontwing","Prototype","January 21, 2021","[652]"
"Grisaia: Phantom Trigger Vol. 06","Frontwing","Prototype","September 22, 2021","[653]"
"Grotto","Brainwash Gang","Brainwash Gang","TBA",""
"Grood","CC_ARTS","Drageus Games","October 23, 2020","[654]"
"Groove Coaster: Wai Wai Party","Taito","Taito","November 7, 2019",""
"Grow: Song of the Evertree","Prideful Sloth","505 Games","November 16, 2021","[655]"
"Growtopia","Ubisoft","Ubisoft","July 18, 2019",""
"Gryphon Knight Epic: Definitive Edition","Cyber Rhino Studios","Cyber Rhino Studios","August 20, 2020","[656][657]"
"Guacamelee!","DrinkBox Studios","DrinkBox Studios","October 8, 2018",""
"Guacamelee! 2","DrinkBox Studios","DrinkBox Studios","December 10, 2018",""
"Guardian Tales","Kong Studios","Kong Studios","October 3, 2022","[658][659]"
"Guild of Darksteel","Igor Sandman","Digerati","July 15, 2021","[660]"
"Guilt Battle Arena","Invincible Cat","ForwardXP","March 1, 2018","[661]"
"Guilty Gear XX Accent Core Plus R","Arc System Works","Arc System Works","May 16, 2019",""
"Guilty Gear","Arc System Works","Arc System Works","May 16, 2019",""
"Gun Gun Pixies","Shade","JP: Idea FactoryWW: PQube","September 6, 2019","[662][663]"
"Gunhouse","Necrosoft Games","Other Ocean Interactive","January 15, 2018","[664]"
"Gunka o Haita Neko","Primula","Prototype","June 18, 2020","[665]"
"Gunlord X","NGDEV","JP: EastAsiaSoftWW: NGDEV","May 22, 2019",""
"Gunma's Ambition: You and Me Are Gunma","Rucky Games, G-Mode","G-Mode","December 23, 2019","[666][667]"
"Gunman Clive HD Collection","Hörberg Productions","JP: Flyhigh WorksWW: Hörberg Productions","January 17, 2019",""
"Gunpig: Firepower For Hire","LaPointe Joints","Flynns Arcade","December 3, 2020",""
"Guns, Gore & Cannoli","Crazy Monkey Studios","Crazy Monkey Studios","December 21, 2017","[668]"
"Guns, Gore & Cannoli 2","Crazy Monkey Studios","Crazy Monkey Studios","August 2, 2018","[669]"
"Gunvein","NGDEV","NGDEV","2022","[670]"
"Gunvolt Chronicles: Luminous Avenger iX","Inti Creates","Inti Creates","September 26, 2019",""
"Gunvolt Chronicles: Luminous Avenger iX 2","Inti Creates","Inti Creates","January 27, 2022","[671]"
"Gynoug","Masaya, Shinyuden","Ratalaika Games","November 12, 2021",""
