"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Ball Breakers•MohoPAL","Lost Toys","Take-Two Interactive","Unreleased","2000","July 27, 2000",""
"Ballblazer Champions","Factor 5","NALucasArts, PALCTO SpA","March 19, 1998","October 1997","March 10, 1997",""
"Ballerburg Castle Chaos","Ascaron Entertainment","Mud Duck ProductionsNA, Phoenix GamesPAL","Unreleased","January 4, 2003","January 4, 2003",""
"Ballistic","Mitchell Corporation","THQ","Unreleased","October 20, 2000","November 4, 1999",""
"Barbapapa","SunSoft","SunSoft","October 4, 2001","Unreleased","Unreleased",""
"Barbie: Explorer","Runecraft","Vivendi Universal Games","Unreleased","April 9, 2001","April 9, 2001",""
"Barbie: Race & Ride","Runecraft","SCEE","Unreleased","November 9, 1999","November 18, 1999",""
"Barbie Super Sports","Runecraft","SCEE","Unreleased","April 20, 2000","January 6, 2000",""
"Barbie: Gotta Have Games","Digital Illusions","VU Games","Unreleased","Unreleased","November 7, 2003",""
"Bardysh: Kromeford no Juunin","Infinity","Imadio","July 22, 1999","Unreleased","Unreleased",""
"Baroque","Sting Entertainment","Sting Entertainment","October 28, 1999","Unreleased","Unreleased",""
"Baroque Syndrome","Sting Entertainment","Sting Entertainment","July 27, 2000","Unreleased","Unreleased",""
"Baseball Navigator","Angel","Angel","July 31, 1997","Unreleased","Unreleased",""
"Baseball Simulation: ID Pro Yakyuu","Konami","Konami","January 25, 2001","Unreleased","Unreleased",""
"Bases Loaded '96: Double Header•Moero!! Pro Yakyuu '95: Double HeaderJP","Jaleco Entertainment","Jaleco Entertainment","November 22, 1995","Unreleased","December 22, 1995",""
"Bass Fisherman","Sammy Studios","Sammy Studios","June 11, 1998","Unreleased","Unreleased",""
"Bass Landing","TOSE","ASCII Entertainment, Agetec Inc.NA","January 14, 1999","Unreleased","September 29, 1999",""
"Bass Landing 2","TOSE","ASCII Entertainment","March 20, 2000","Unreleased","Unreleased",""
"Bass Rise","Bandai","Bandai","March 25, 1999","Unreleased","September 26, 1999",""
"Bass Tsuri ni Ikou! Let's Go Bassfishing!","Banpresto","Banpresto","April 22, 1999","Unreleased","Unreleased",""
"Bassing Beat 2","Hearty Robin","Hearty Robin","August 10, 2000","Unreleased","Unreleased",""
"Bastard!!","Opus","Seta Corporation","December 28, 1996","Unreleased","Unreleased",""
"Batman & Robin","Probe Entertainment","Acclaim","Unreleased","August 5, 1998","January 7, 1998",""
"Batman Beyond: Return of the JokerNA•Batman of the Future: Return of the JokerPAL","Kemco","Ubisoft","May 1, 2001","December 15, 2000","November 20, 2000",""
"Batman Forever: The Arcade Game","Iguana Entertainment","Acclaim","February 14, 1997","December 1996","December 3, 1996",""
"Batman: Gotham City Racer","Sinister Games","Ubisoft","Unreleased","May 18, 2001","April 18, 2001",""
"Battle Arena Nitoshinden","Tamsoft","Takara","September 20, 1996","Unreleased","Unreleased",""
"Battle Arena Toshinden","Tamsoft","SCEA","January 1, 1995","September 29, 1995","September 9, 1995",""
"Battle Arena Toshinden 2","Tamsoft","Takara and Toshiaki Ota","December 29, 1995","June 1996","May 23, 1996",""
"Battle Arena Toshinden 2 Plus","Tamsoft","Takara","August 9, 1996","Unreleased","Unreleased",""
"Battle Arena Toshinden 3","Tamsoft","Takara","December 27, 1996","March 1997","June 26, 1997",""
"Battle Athletess: Daiundoukai Alternative","AIC Spirits","Increment-P","January 15, 1998","Unreleased","Unreleased",""
"Battle Athletess: Daiundoukai GTO","AIC Spirits","Increment-P","January 14, 1999","Unreleased","Unreleased",""
"Battle Bugs","Epyx","Sierra Entertainment","September 18, 1997","Unreleased","Unreleased",""
"Battle Formation","Banpresto","Banpresto","November 13, 1997","Unreleased","Unreleased",""
"Battle HunterNA•The HunterPAL","Agetec","Tommo","December 22, 1999","April 12, 2001","June 20, 2001",""
"Battle Konchuuden","Jaleco","Jaleco","January 21, 1999","Unreleased","Unreleased",""
"Battle Master","Taki","Taki","January 8, 1998","Unreleased","Unreleased",""
"Battle Qix","Success","Success","October 24, 2002","Unreleased","Unreleased",""
"BattleSport","Cyclone Studios","The 3DO Company","Unreleased","Unreleased","June 30, 1997",""
"Battle Stations","Electronic Arts","Realtime Associates","Unreleased","Unreleased","March 20, 1997",""
"BattleTanx: Global Assault","The 3DO Company","The 3DO Company","Unreleased","June 30, 2000","March 15, 2000",""
"Bealphareth","Zealsoft","SCEI","September 28, 2000","Unreleased","Unreleased",""
"Bear in the Big Blue House","DC Studios","Ubisoft","Unreleased","December 13, 2002","December 12, 2002",""
"Beast Wars: Transformers","Takara","Hasbro Interactive","March 26, 1998","March 1, 1998","December 2, 1997","[55]"
"Beatmania","Konami","Konami","October 1, 1998","Unreleased","Unreleased",""
"Beatmania (Europe)","Konami","Konami","Unreleased","June 2000","Unreleased",""
"Beatmania Append 3rd Mix","Konami","Konami","December 23, 1998","Unreleased","Unreleased",""
"Beatmania Append 3rd Mix Mini","Konami","Konami","October 29, 1998","Unreleased","Unreleased",""
"Beatmania Append 4th Mix","Konami","Konami","September 9, 1999","Unreleased","Unreleased",""
"Beatmania Append 5th Mix","Konami","Konami","March 2, 2000","Unreleased","Unreleased",""
"Beatmania Append Club mix","Konami","Konami","December 21, 2000","Unreleased","Unreleased",""
"Beatmania Append Gottamix","Konami","Konami","May 27, 1999","Unreleased","Unreleased",""
"Beatmania Append Gottamix 2 – Going Global","Konami","Konami","September 7, 2000","Unreleased","Unreleased",""
"Beatmania Append Yebisu Mix","Konami","Konami","December 9, 1999","Unreleased","Unreleased",""
"Beatmania 6th Mix + Core Mix","Konami","Konami","March 26, 2002","Unreleased","Unreleased",""
"Beatmania Best Hits","Konami","Konami","July 27, 2000","Unreleased","Unreleased",""
"Beatmania Featuring Dreams Come True","Konami","Konami","July 27, 2000","Unreleased","Unreleased",""
"Beatmania – The Sound of Tokyo","Konami","Konami","March 29, 2001","Unreleased","Unreleased",""
"Beat Planet Music","Opus","SCEI","January 20, 2000","Unreleased","Unreleased",""
"Beavis and Butt-Head in Virtual Stupidity","ICOM Simulations","Viacom New Media","January 29, 1998","Unreleased","Unreleased",""
"Bedlam","Mirage Technologies","GT Interactive","Unreleased","July 4, 1997","Unreleased",""
"Beyblade: Let it Rip!•Bakuten Shoot BeybladeJP","WAVEDGE","Crave EntertainmentNA, AtariPAL, TakaraJP","December 13, 2001","August 22, 2003","December 4, 2002",""
"Beyond the Beyond","Camelot Software Planning","SCEI, SCEA","November 3, 1995","Unreleased","August 31, 1996",""
"Big Air","The Pitbull Syndicate Limited","Accolade","Unreleased","April 1999","March 1, 1999",""
"Big Bass Fishing","Coresoft","Take 2 Interactive","Unreleased","April 24, 2002","May 6, 2002",""
"Big Bass World Championship•Super Black Bass XJP","Starfish","Hot-B","August 7, 1997","Unreleased","March 15, 1997",""
"Big Challenge Golf: Tokyo Yomiuri Country Club Hen","Vap","Vap","March 14, 1997","Unreleased","Unreleased",""
"Big League Slugger Baseball•Baseball: Pro Nami Kusa Yakyuu!JP•Wai Wai Kusa YakyuuJP","Now Production","Agetec Inc.NA, Media GallopJP, Hamster CorporationJP","December 7, 2000","Unreleased","July 8, 2003",""
"Big Ol' Bass 2•Fisherman's Bait 3PAL•Exciting Bass 3JP","Konami Computer Entertainment Nagoya","Konami","January 25, 2001","March 9, 2001","November 10, 2000",""
"Big Strike Bowling","CoresoftNA, Gotham GamesPAL","Take 2 Interactive","Unreleased","April 17, 2003","March 20, 2003",""
"Billiard (Selen)","ProSoft","Selen","July 12, 2001","Unreleased","Unreleased",""
"Bio F.R.E.A.K.S.","Saffire","Midway GamesNA, GT InteractivePAL","Unreleased","September 1998","April 15, 1998",""
"Bishi Bashi Special","Konami","Konami","September 17, 1998","Unreleased","Unreleased",""
"Bishi Bashi Special 2","Konami","Konami","September 2, 1999","July 7, 2000","Unreleased",""
"Bishi Bashi Special 3: Step Champ","Konami","Konami","June 29, 2000","Unreleased","Unreleased",""
"Bishoujo Hanafuda Kikou: Michinoku Hitou Koimonogatari","Fog","Fog","August 7, 1997","Unreleased","Unreleased",""
"Bishoujo Senshi Sailor Moon SuperS Shin Shuyaku Soudatsusen","Angel","Angel","March 8, 1996","Unreleased","Unreleased",""
"Bishoujo Senshi Sailor Moon World – Chibi Usa to Tanoshii Mainichi","Bandai","Bandai","November 29, 2001","Unreleased","Unreleased",""
"The Bistro","Syscom","Syscom","February 17, 2000","Unreleased","Unreleased",""
"Black/Matrix 00","InterChannel","InterChannel","May 13, 2004","Unreleased","Unreleased",""
"Black/Matrix Cross","Flight-Plan","InterChannel","December 14, 2000","Unreleased","Unreleased",""
"Black Bass with Blue Marlin","Hot B","Starfish","Unreleased","Unreleased","November 18, 1999",""
"Black Dawn","Black Ops Entertainment","Virgin Interactive Entertainment","Unreleased","February 1997","October 24, 1996",""
"Black Jack vs. Matsuda Jun","Pony Canyon","Pony Canyon","August 10, 2000","Unreleased","Unreleased",""
"Blade","Hammerhead Ltd","Activision","Unreleased","December 15, 2000","November 28, 2000",""
"Blade Arts","Enix","Enix","September 28, 2000","Unreleased","Unreleased",""
"BladeMaker","Shoeisha","Shoeisha","July 1, 1999","Unreleased","Unreleased",""
"Blast Chamber","Attention to Detail","Activision","Unreleased","November 1996","October 22, 1996",""
"Blast Lacrosse","Sandbox Studios","Acclaim Sports","Unreleased","Unreleased","May 24, 2001",""
"Blast Radius","Pitbull Syndicate","Psygnosis","Unreleased","July 31, 1998","February 24, 1999",""
"Blaster Master: Blasting Again","Sunsoft","Crave Entertainment","July 31, 2000","September 2000","November 28, 2001",""
"Blasto","Sony Interactive Studios America","SCEE","Unreleased","August 1, 1998","March 31, 1998",""
"Blaze and Blade Busters","GungHo","T&E Soft","September 23, 1998","Unreleased","Unreleased",""
"Blaze and Blade: Eternal Quest•Legend of Foresia : La Contrée interditeFR","Technology and Entertainment Software","Funsoft","January 28, 1998","June 4, 1999","Unreleased",""
"Blazing Dragons","The Illusions Game Company","Crystal Dynamics","Unreleased","November 1996","October 3, 1996",""
"Blend X Brand","Tonkin House","Tonkin House","June 29, 2000","Unreleased","Unreleased",""
"Block Buster•Block Kuzushi 2JP•""Simple 1500 Series Vol. 45: The Block Kuzushi 2""JP","Marvelous","Phoenix Games (video)","February 3, 2000","August 8, 2003","Unreleased",""
"Blockids","MonkeyPaw Games","Athena","February 23, 1996","2003","August 4, 2003",""
"Block & Switch","Serene","Serene","January 24, 2002","Unreleased","Unreleased",""
"Block Kuzushi Kowashite Help!","Now Production","Media Group","December 7, 2000","Unreleased","Unreleased",""
"Block Kuzushi: Deden no Gyakushuu","Island Creation","Island Creation","May 31, 1996","Unreleased","Unreleased",""
"Block Wars","Pony Canyon","Pony Canyon","September 6, 2001","Unreleased","Unreleased",""
"Blood Lines","Radical Entertainment","SCEE","Unreleased","April 1999","Unreleased",""
"Blood Omen: Legacy of Kain","Silicon Knights","Crystal Dynamics","May 30, 1997","March 1997","November 14, 1996",""
"Bloody Roar","SCEA","8ing/Raizing","November 6, 1997","March 1998","January 2, 1998",""
"Bloody Roar 2","8ing/Raizing, Hudson Soft","Virgin Interactive Entertainment","January 28, 1999","July 1999","January 5, 1999",""
"Blue Breaker: Egao no Yakusoku","Human Entertainment","Human Entertainment","December 25, 1997","Unreleased","Unreleased",""
"Blue Breaker Burst: Bishou o Anata to","Human Entertainment","Human Entertainment","July 23, 1998","Unreleased","Unreleased",""
"Blue Breaker Burst: Egao no Asuni","Human Entertainment","Human Entertainment","September 10, 1998","Unreleased","Unreleased",""
"Blue Forest Monogatari: Kaze no Fuuin","MBA International","Right Stuff","December 6, 1996","Unreleased","Unreleased",""
"The Blue Marlin","Hot-B","Starfish","May 2, 2000","Unreleased","Unreleased",""
"Blue's Clues: Blue's Big Musical","Terraglyph Interactive Studios","THQ","Unreleased","Unreleased","August 24, 2001",""
"Board Game Top Shop","KID","A1 Games","February 11, 1998","Unreleased","February 28, 2001",""
"Bob the Builder: Can We Fix It?","THQ","BBC Multimedia","Unreleased","January 12, 2000","December 1, 2000",""
"Bogey Dead 6•Raging SkiesPAL","Asmik Ace Entertainment","SCEA","January 26, 1996","September 1996","July 8, 1996",""
"Bokan Go Go Go","Banpresto","Banpresto","February 22, 2001","Unreleased","Unreleased",""
"Boku no Choro-Q","Takara","Takara","March 7, 2002","Unreleased","Unreleased",""
"Boku no Natsuyasumi","Millennium Kitchen","SCEI","June 22, 2000","Unreleased","Unreleased",""
"Boku wa Koukuu Kanseikan","Syscom","Syscom","December 22, 1999","Unreleased","Unreleased",""
"Bokujo Monogatari Harvest Moon For Girl","Victor Interactive Software","Victor Interactive Software","December 7, 2000","Unreleased","Unreleased",""
"Bokujyoukeieteki Board Game: Umapoly","Konami","Konami","December 25, 1999","Unreleased","Unreleased",""
"Bokurato Asobou! Ultraman TV","Bandai","Bandai","September 21, 2000","Unreleased","Unreleased",""
"Bomb Boat","Success","Success","August 29, 2002","Unreleased","Unreleased",""
"Bomberman Fantasy Race","Graphic Research Co. Ltd","Virgin Interactive","August 6, 1998","July 2000","March 31, 1999",""
"Bomberman Land","Hudson Soft","Hudson Soft","December 21, 2000","Unreleased","Unreleased",""
"Bomberman Party Edition•BombermanPAL","Metro","Vatical Entertainment","December 10, 1998","July 1999","September 19, 2000","[56]"
"Bomberman Wars","Hudson","Hudson","April 16, 1998","Unreleased","Unreleased",""
"Bomberman World","Hudson Soft","Atlus","January 29, 1998","August 1998","January 30, 1998",""
"The Bombing Islands","Kotobuki Systems","Kemco","July 18, 1997","1998","May 2, 2001",""
"Bonogurashi: Kore de Kanpeki Disu","Amuse","Amuse","June 7, 1996","Unreleased","Unreleased","[57]"
"Boundary Gate: Daughter of Kingdom","Victor Interactive Software","Victor Interactive Software","July 17, 1997","Unreleased","Unreleased",""
"Bounty Sword First","Pioneer LDC","Pioneer LDC","June 6, 1997","Unreleased","Unreleased",""
"Bounty Sword: Double Edge","Pioneer LDC","Pioneer LDC","July 30, 1998","Unreleased","Unreleased",""
"The Book of Watermarks","ARC Entertainment","SCEI","July 15, 1999","Unreleased","Unreleased"
"BoomBots","The Neverhood","SouthPeak Games","Unreleased","Unreleased","January 11, 1999",""
"Bottom of the 9th","Konami","Konami","October 25, 1996","Unreleased","April 4, 1996",""
"Bottom of the 9th '97•Jikkyou American BaseballJP","Konami","Konami","May 14, 1998","Unreleased","July 10, 1997",""
"Bottom of the 9th '99","Konami","Konami","Unreleased","Unreleased","August 31, 1998",""
"Bounty Hunter Sara: Holy Mountain no Teiou","Flagship","Capcom","May 24, 2001","Unreleased","Unreleased",""
"Boxer's Road","New","New","September 8, 1995","Unreleased","Unreleased",""
"Boys Be... Kono Koi no Yukue","Axes Art Amuse","Kodansha","March 28, 1997","Unreleased","Unreleased",""
"Boys Be... Second Season","Kodansha","Kodansha","September 22, 1999","Unreleased","Unreleased",""
"BRAHMA Force: The Assault on Beltlogger 9","Genki","GenkiJP, JVC Music EuropeEU","November 15, 1996","March 1998","March 31, 1997",""
"Brain Dead 13","ReadySoft","ReadySoftNA, Coconuts JapanJP","October 18, 1996","Unreleased","March 6, 1996",""
"Bratz","Ubisoft (PAL), D.C. Studios Inc.","Ubisoft","Unreleased","May 2, 2003","March 13, 2003",""
"Brave Fencer Musashi•Brave Fencer MusashidenJP","Square","Square EA","July 16, 1998","Unreleased","November 12, 1998",""
"Brave Prove","DataWest","DataWest","April 15, 1998","Unreleased","Unreleased",""
"Brave Saga 2","Takara","Takara","May 2, 2000","Unreleased","Unreleased",""
"Brave Sword","Sammy Studios","Sammy Studios","October 19, 2000","Unreleased","Unreleased",""
"Bravo Air Race•Recipro Heat 5000JP•Air RacePAL","Xing Entertainment","THQ","July 31, 1997","December 1997","January 10, 1997",""
"Break Volley•Simple 1500 Series Vol. 54: The Volleyball - Break Volley PlusJP","Art Co., Ltd.","Aqua Rouge","November 2, 1999","Unreleased","Unreleased",""
"Breakout","Supersonic Software","Hasbro Interactive (Under the Atari Interactive Label)","Unreleased","October 6, 2000","September 23, 2000",""
"Break Point","Smart Dog","OceanPAL, KonamiJP","September 18, 1997","December 1996","Unreleased",""
"BreakThru!","Shoeisha","Shoeisha","December 1, 1995","Unreleased","Unreleased",""
"Breath of Fire III","Capcom","Capcom","September 11, 1997","October 8, 1998","April 30, 1998",""
"Breath of Fire IV","Capcom","Capcom","April 27, 2000","August 3, 2001","November 30, 2000",""
"Breed Master","Office Create","Office Create","April 25, 2002","Unreleased","Unreleased",""
"Breeding Stud: Bokujou de Aimashou","Konami","Konami","March 27, 1997","Unreleased","Unreleased",""
"Breeding Stud 2","Konami","Konami","July 30, 1998","Unreleased","Unreleased",""
"Breeding Stud '99","Konami","Konami","November 11, 1999","Unreleased","Unreleased",""
"Brian Lara Cricket•Shane Warne CricketAU,NZ","Codemasters","Codemasters","Unreleased","December 8, 1998PAL,AU,NZ","Unreleased",""
"Brigandine: Legend of Forsena","Hearty Robin","Hearty RobinJP, AtlusNA","April 2, 1998","Unreleased","January 11, 1998",""
"Brigandine Grand Edition","Hearty Robin","Hearty Robin","May 18, 2000","Unreleased","Unreleased",""
