"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"Demon's Crystals","Shooter","Byte4Games","BadLand Games","Unreleased","May 12, 2017","May 12, 2017","",""
"Demon's Tilt","Arcade, pinball","WiznwarFlarb","Flarb","Dec 6, 2019","Dec 6, 2019","Dec 6, 2019","PA",""
"Demons with Shotguns","Platform brawler, party game","Stage Clear StudiosMindshaft Games","Digerati","Dec 24, 2019","Dec 24, 2019","Dec 24, 2019","",""
"Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles","Fighting","CyberConnect2","JP: AniplexWW: Sega","Oct 14, 2021","Oct 15, 2021","Oct 15, 2021","",""
"Deployment","Arena shooter","Whale Rock Games","Whale Rock Games","Unreleased","Oct 10, 2018","Oct 10, 2018","",""
"Deponia","Point-and-click adventure","Daedalic Entertainment","Daedalic Entertainment","Apr 24, 2019","Apr 24, 2019","Apr 24, 2019","",""
"Deponia Doomsday","Point-and-click adventure","Daedalic Entertainment","Daedalic Entertainment","Feb 14, 2019","Feb 14, 2019","Feb 14, 2019","",""
"Depth of Extinction","Roguelike tactical RPG","HOF Studios","HOF Studios","Jun 2, 2020","Jun 3, 2020","Jun 2, 2020","X","[47]"
"Desert Child","Racing adventure","Oscar Brittain","Akupara Games","Dec 12, 2018","Dec 12, 2018","Dec 12, 2018","",""
"Desperados 3","Real-time strategy","Mimimi Productions","THQ Nordic","Jun 16, 2020","Jun 16, 2020","Jun 16, 2020","",""
"Destiny","Action role-playingfirst-person shooter","Bungie","Activision","Unreleased","Sep 9, 2014","Sep 9, 2014","",""
"Destiny 2","Action role-playingfirst-person shooter","Bungie","Activision","Sep 6, 2017","Sep 6, 2017","Sep 6, 2017","X",""
"Deus Ex: Mankind Divided","Action role-playingstealth","Eidos Montréal","Square Enix","Apr 6, 2017","Aug 23, 2016","Aug 23, 2016","",""
"Devil May Cry 4: Special Edition","Hack and slashaction","Capcom","Capcom","Jun 18, 2015","Jun 23, 2015","Jun 18, 2015","",""
"Devil May Cry 5","Hack and slashaction","Capcom","Capcom","Mar 8, 2019","Mar 8, 2019","Mar 8, 2019","",""
"Devil May Cry HD Collection","Hack and slashaction","Capcom","Capcom","Mar 13, 2018","Mar 13, 2018","Mar 13, 2018","",""
"Devious Dungeon","Action-platformer","WoblywareRavenous Games","Ratalaika Games","Unreleased","Oct 10, 2018","Oct 10, 2018","",""
"Devious Dungeon 2","Roguelike action-platformer","Woblyware","Ratalaika Games","Unreleased","May 15, 2019","May 15, 2019","",""
"Dex","Action & Adventure","Dreadlocks","BadLand Games","Unreleased","Jul 8, 2016","Jul 8, 2016","",""
"Diablo II: Resurrected","Action role-playing, hack and slash","Vicarious Visions","Blizzard Entertainment","Sep 23, 2021","Sep 23, 2021","Sep 23, 2021","",""
"Diablo III: Ultimate Evil Edition","Action role-playing, dungeon crawl, hack and slash","Blizzard Entertainment","Blizzard Entertainment","Unreleased","Aug 19, 2014","Aug 19, 2014","X",""
"Die for Valhalla!","Hack and slash","Monster Couch","Monster Couch","Unreleased","May 30, 2018","May 30, 2018","",""
"Digimon Survive","Visual novelRole-playing","HYDE","Bandai Namco Entertainment","Jul 28, 2022","Jul 29, 2022","Jul 29, 2022","",""
"Dimension Drive","Shoot 'em up","2Awesome Studio","LBC Games","Sep 4, 2018","Sep 4, 2018","Sep 4, 2018","",""
"Dirt 4","Racing","Codemasters","Codemasters","Jul 26, 2017","Jun 9, 2017","Jun 9, 2017","",""
"Dirt 5","Racing","Codemasters","Codemasters","Nov 6, 2020","Nov 6, 2020","Nov 6, 2020","",""
"Dirt Rally","Racing","Codemasters","Codemasters","Unreleased","Apr 5, 2016","Apr 5, 2016","",""
"Dirt Rally 2.0","Racing","Codemasters","Codemasters","Apr 18, 2019","Feb 26, 2019","Feb 26, 2019","X",""
"Disciples: Liberation","Turn-based strategy","Frima Studio","Kalypso Media","Oct 21, 2021","Oct 21, 2021","Oct 21, 2021","",""
"Disco Dodgeball Remix","Shooter, Sports","Zen Studios","Zen Studios","Unreleased","May 22, 2018","May 22, 2018","",""
"Dishonored 2","Action","Arkane Studios","Bethesda Softworks","Nov 11, 2016","Nov 11, 2016","Nov 11, 2016","X",""
"Dishonored: Death of the Outsider","Action","Arkane Studios","Bethesda Softworks","Sep 15, 2017","Sep 15, 2017","Sep 15, 2017","X",""
"Dishonored: Definitive Edition","Action","Arkane Studios","Bethesda Softworks","Aug 27, 2015","Aug 25, 2015","Aug 28, 2015","FPSB",""
"Disintegration","First-person shooter","V1 Interactive","Private Division","Jun 16, 2020","Jun 16, 2020","Jun 16, 2020","","[48]"
"The Disney Afternoon Collection","Retro collection","Digital Eclipse","Capcom","Unreleased","Apr 18, 2017","Apr 18, 2017","",""
"Disney Classic Games: Aladdin and The Lion King","Retro collection","Digital Eclipse","Disney","Unreleased","Oct 29, 2019","Oct 28, 2019","",""
"Disney Dreamlight Valley","Life simulation, adventure","Gameloft Montreal","Gameloft","Dec 5, 2023","Dec 5, 2023","Dec 5, 2023","",""
"Disney Infinity: Marvel Super Heroes","Action-adventure","Avalanche Software","Disney Interactive Studios","Unreleased","Sep 23, 2014","Sep 19, 2014","",""
"Disney Infinity 3.0","Action-adventure","Avalanche Software","Disney Interactive Studios","Unreleased","Aug 30, 2015","Aug 28, 2015","",""
"Disneyland Adventures Remastered","Open World, Adventure","Asobo Studio","Xbox Game Studios","Oct 31, 2017","Oct 31, 2017","Oct 31, 2017","PA  X  K",""
"Distraint: Deluxe Edition","Horror","Ratalaika Games","Jesse Makkonen","Sep 11, 2019","Sep 11, 2019","Sep 11, 2019","",""
"Distrust","Survival Roguelite","Alawar Entertainment","E-Home Entertainment","Aug 24, 2018","Aug 24, 2018","Aug 24, 2018","",""
"Divekick: Addition Edition +","Fighting","One True Game StudiosIron Galaxy Studios","Iron Galaxy Studios","Unreleased","Oct 7, 2014","Oct 7, 2014","",""
"Divinity: Original Sin Enhanced Edition","Role-playing","Larian Studios","Focus Home Interactive","Unreleased","Oct 27, 2015","Oct 27, 2015","",""
"Divinity: Original Sin II Definitive Edition","Role-playing","Larian Studios","Larian Studios","Unreleased","Aug 31, 2018","Aug 31, 2018","X",""
"DJMax Respect V","Rhythm","Neowiz MUCA","Neowiz Games","Jul 7, 2022","Jul 7, 2022","Jul 7, 2022","PA  PC",""
"DmC: Devil May Cry Definitive Edition","Hack and slash, action","Ninja Theory","Capcom","Unreleased","Apr 10, 2015","Apr 10, 2015","",""
"Doctor Who: The Edge of Reality","Adventure","Maze Theory","BBC StudiosJust Add Water","Unreleased","Sep 30, 2021","Sep 30, 2021","","[49]"
"Dodgeball Academia","Sportsrole-playing","Pocket Trap","Humble Games","Aug 5, 2021","Aug 5, 2021","Aug 5, 2021","",""
"Dogos","Shooter","Opqam","Opqam","Dec 15, 2016","Sep 6, 2016","Sep 6, 2016","",""
"Doki Doki Literature Club Plus!","Visual novel","Team Salvato","Serenity Forge","Unreleased","Jun 30, 2021","Jun 30, 2021","",""
"Don Bradman Cricket 14","Sports","Big Ant Studios","Home Entertainment Suppliers","Unreleased","Feb 11, 2015","Feb 11, 2015","",""
"Don Bradman Cricket 17","Sports","Big Ant Studios","Home Entertainment Suppliers","Unreleased","Dec 14, 2016","Dec 14, 2016","",""
"Don't Knock Twice","Horror","Wales Interactive","Wales Interactive","Unreleased","Sep 5, 2017","Sep 5, 2017","",""
"Don't Sink","Roguelite Pirate role-playing","Studio Eris","Studio Eris","Unreleased","Aug 24, 2018","Aug 24, 2018","",""
"Don't Starve: Giant Edition","Action-adventure","Klei EntertainmentBlitWorks","Klei Entertainment","Unreleased","Aug 26, 2015","Aug 26, 2015","",""
"Don't Starve Together: Console Edition","Action-adventure","Klei EntertainmentBlitWorks","Klei Entertainment","Unreleased","Sep 13, 2017","Sep 13, 2017","",""
"Donut County","Physics puzzler","Ben Esposito","Annapurna Interactive","Apr 30, 2020","Dec 18, 2018","Dec 18, 2018","",""
"Doodle God: Crime City","Puzzle","JoyBits","JoyBits","Unreleased","Nov 8, 2018","Nov 8, 2018","X",""
"Doodle God: Evolution","Puzzle","JoyBits","JoyBits","Jun 13, 2019","Jun 13, 2019","Jun 13, 2019","",""
"Doodle God: Ultimate Edition","Puzzle","JoyBits","JoyBits","Unreleased","Jan 27, 2017","Jan 27, 2017","",""
"Doom","First-person shooter","id Software","Bethesda Softworks","Jul 26, 2019","Jul 26, 2019","Jul 26, 2019","",""
"Doom","First-person shooter","id Software","Bethesda Softworks","May 13, 2016","May 13, 2016","May 13, 2016","X",""
"Doom 64","First-person shooter","Nightdive Studios","Bethesda Softworks","Mar 25, 2020","Mar 20, 2020","Mar 19, 2020","",""
"Doom II","First-person shooter","id Software","Bethesda Softworks","Jul 26, 2019","Jul 26, 2019","Jul 26, 2019","",""
"Doom 3","First-person shooter","id SoftwarePanic Button","Bethesda Softworks","Jul 26, 2019","Jul 26, 2019","Jul 26, 2019","X",""
"Doom and Destiny","Japanese role-playing","Heartbit Interactive","Heartbit Interactive","Dec 12, 2018","Dec 12, 2018","Dec 12, 2018","",""
"Doom Eternal","First-person shooter","id Software","Bethesda Softworks","Mar 20, 2020","Mar 20, 2020","Mar 20, 2020","",""
"Door Kickers: Action Squad","Side-scrolling shooter","PixelShard","Killhouse Games","Oct 23, 2019","Oct 23, 2019","Oct 23, 2019","",""
"Double Cross","Platformer","13AM Games","Graffiti Games","Unreleased","Jun 19, 2019","Jun 19, 2019","",""
"Double Dragon 4","Brawler","Arc System Works","Arc System Works","Apr 23, 2020","Apr 23, 2020","Apr 23, 2020","",""
"Doug Flutie's Maximum Football 2019","Sports","Canuck Play","Canuck Play","Unreleased","Sep 27, 2019","Sep 27, 2019","",""
"Doughlings: Arcade","Arcade","Hero Concept","Hero Concept","Aug 16, 2018","Aug 3, 2018","Aug 3, 2018","",""
"Doughlings: Invaders","Shoot em up, Retro","Hero Concept","Hero Concept","Jul 10, 2019","Jul 10, 2019","Jul 10, 2019","",""
"Dovetail Games Euro Fishing","Simulation","Dovetail Games","Dovetail Games","Unreleased","Jun 10, 2016","Jun 10, 2016","",""
"DragoDino","Adventure","TealRocksStudio","Plug In Digital","Unreleased","Apr 27, 2018","Apr 27, 2018","",""
"Dragon Age: Inquisition","Action role-playing","BioWare","Electronic Arts","Nov 18, 2014","Nov 18, 2014","Nov 18, 2014","",""
"Dragon Ball FighterZ","Fighting","Arc System Works","Bandai Namco Entertainment","Feb 1, 2018","Jan 26, 2018","Jan 26, 2018","X",""
"Dragon Ball: The Breakers","Survival","Dimps","Bandai Namco Entertainment","2022","2022","2022","","[50]"
"Dragon Ball Xenoverse","Fighting","Dimps","Bandai Namco Entertainment","Feb 5, 2015","Feb 24, 2015","Feb 27, 2015","",""
"Dragon Ball Xenoverse 2","Fighting","Dimps","Bandai Namco Entertainment","Nov 2, 2016","Oct 25, 2016","Oct 28, 2016","",""
"Dragon Ball Z: Kakarot","Action role-playing","CyberConnect2","Bandai Namco Entertainment","Jan 16, 2020","Jan 17, 2020","Jan 17, 2020","",""
"Dragon Bros","Platformshooter","Space Lizard Studio","Space Lizard Studio","Unreleased","May 31, 2017","May 31, 2017","",""
"Dragon Quest Builders 2","Action role-playing","Square Enix","Square Enix","May 4, 2021","May 4, 2021","May 4, 2021","",""
"Dragon Quest XI S: Echoes of an Elusive Age","Role-playing","Square Enix","Square Enix","Dec 4, 2020","Dec 4, 2020","Dec 4, 2020","",""
"Dragon Sinker: Descendants of Legend","Role-playing","Exe Create","Kemco","Jan 8, 2020","Jan 8, 2020","Jan 8, 2020","PA",""
"Dragon's Lair Trilogy","Retro collection","Digital Leisure","Digital Leisure","Unreleased","May 17, 2019","May 17, 2019","",""
"DragonFang Z: The Rose & Dungeon of Time","Roguelike role-playing game","Toydea","Toydea","May 10, 2019","May 10, 2019","May 10, 2019","PA",""
"Dragon's Dogma: Dark Arisen","Action role-playing, hack and slash","Capcom","Capcom","Oct 5, 2017","Oct 3, 2017","Oct 3, 2017","",""
"Draugen","Adventure, walking simulator","Red Thread Games","Red Thread Games","Feb 21, 2020","Feb 21, 2020","Feb 21, 2020","X",""
"Drake Hollow","Action-adventure","The Molasses Flood","The Molasses Flood","Unreleased","Aug 28, 2020","Aug 28, 2020","",""
"Draw a Stickman: Epic","Adventure, Casual","Hitcents","Hitcents","Unreleased","Sep 11, 2015","Sep 11, 2015","",""
"Draw a Stickman: Epic 2","Adventure, Casual","Hitcents","Hitcents","Unreleased","Oct 9, 2019","Oct 9, 2019","",""
"Drawful 2","Party, trivia","Jackbox Games","Jackbox Games","Unreleased","Jun 21, 2016","Jun 21, 2016","",""
"Dread Nautical","Tactical horror roguelike","Zen Studios","Zen Studios","Apr 29, 2020","Apr 29, 2020","Apr 29, 2020","X",""
"Dreamals: Dream Quest","Platformerpuzzle","Xiness","Xiness","Unreleased","Aug 3, 2016","Aug 3, 2016","",""
"DreamBreak","Action & Adventure","AistSPL","Digerati","Unreleased","Sep 14, 2017","Sep 14, 2017","",""
"Dreamfall Chapters: The Longest Journey","Adventure","Red Thread Games","Deep Silver","Unreleased","May 5, 2017","May 5, 2017","",""
"Dreaming Sarah","Adventure Platformer","Asteristic Game Studio","Asteristic Game Studio","Aug 16, 2017","Aug 16, 2017","Aug 16, 2017","",""
"Dreamwalker: Never Fall Asleep","Hidden object adventure","The House of Fables","Artifex Mundi","Dec 12, 2019","Dec 12, 2019","Dec 12, 2019","X",""
"DreamWorks Dragons: Dawn of New Riders","Action-adventure, Family","Climax Studios","Outright Games","Unreleased","Feb 15, 2019","Feb 1, 2019","",""
"Drift Zone","Racing","Awesome Industries","Awesome Industries","Unreleased","Jan 26, 2018","Jan 26, 2018","",""
"Drive On Moscow","Strategy","Shenandoah Studio","Slitherine Software","Unreleased","May 4, 2018","May 4, 2018","",""
"Driven Out","Side-scrolling action","No Pest Productions","No Pest Productions","Oct 18, 2019","Oct 18, 2019","Oct 18, 2019","",""
"Dual Gear","Turn-based strategy","Orbital Speed Studio","Orbital Speed Studio","Unreleased","TBA","TBA","",""
"Ducati: 90th Anniversary","Racing","Milestone srl","Milestone srl","Unreleased","Jun 9, 2016","Jun 9, 2016","",""
"Duck Dynasty","Shooter","Fun Labs","Activision","Unreleased","Oct 14, 2014","Oct 21, 2014","",""
"Duck Life: Battle","Role-playing","Wix Games","Mad","Unreleased","Oct 14, 2014","Oct 21, 2014","X",""
"Duck Souls","Platformer","Green Dinosaur Games","Ratalaika Games","Mar 25, 2020","Mar 25, 2020","Mar 25, 2020","",""
"Duke Nukem 3D: 20th Anniversary World Tour","Shooter","Gearbox Software","Gearbox Publishing","Unreleased","Oct 10, 2016","Oct 10, 2016","",""
"Dungeon of the Endless","Adventure","Amplitude Studios","Amplitude Studios","Unreleased","Mar 16, 2016","Mar 16, 2016","",""
"Dungeon Punks","Action role-playing","Hyper Awesome Entertainment","Hyper Awesome Entertainment","Unreleased","Jul 26, 2016","Jul 26, 2016","",""
"Dungeons 3","Strategy, simulation","Realmforge Studios","Kalypso Media","Unreleased","Oct 17, 2017","Oct 17, 2017","",""
"Dunk Lords","Sports, Fighting","Story Fort","Story Fort","Unreleased","TBA","TBA","",""
"Dustoff Heli Rescue 2","Strategy, Simulation","Invictus Games","Invictus Games","Unreleased","Dec 26, 2017","Dec 26, 2017","",""
"The Dwarves","Tactical role-playing","King Art Games","THQ Nordic","Unreleased","Dec 2, 2016","Dec 2, 2016","",""
"Dye","Platformer","Bat Country Games","Bat Country Games","Unreleased","Feb 7, 2018","Feb 7, 2018","",""
"Dying: 1983","Adventure","Nekcom","2P Games","TBA","TBA","TBA","","[51]"
"Dying Light","Action role-playingsurvival horror","Techland","Warner Bros. Interactive Entertainment","Apr 16, 2015","Jan 27, 2015","Feb 27, 2015","",""
"Dying Light 2","Action role-playingsurvival horror","Techland","Square Enix","Dec 7, 2021","Dec 7, 2021","Dec 7, 2021","",""
"Dying: Reborn","Puzzle","Nekcom Entertainment","E-Home Entertainment","Unreleased","Oct 31, 2017","Oct 31, 2017","",""
"Dynamite Fishing: World Games","Puzzle","HandyGames","HandyGames","Unreleased","Jul 1, 2016","Jul 1, 2016","",""
"Dynasty Warriors 8: Empires","Hack and slash","Omega Force","Koei Tecmo","Oct 8, 2014","Feb 24, 2015","Feb 27, 2015","",""
"Dynasty Warriors 9","Hack and slash","Omega Force","Koei Tecmo","Unreleased","Feb 13, 2018","Feb 13, 2018","X",""
"Dynasty Warriors 9: Empires","Hack and slash","Omega Force","Koei Tecmo","Dec 23, 2021","Feb 15, 2022","Feb 15, 2022","",""
"EA Sports UFC","Fighting, Sports","EA Canada","EA Sports","Jun 20, 2014","Nov 20, 2014","Jun 17, 2014","",""
"EA Sports UFC 2","Fighting, Sports","EA Canada","EA Sports","Mar 15, 2016","Mar 15, 2016","Mar 15, 2016","",""
"EA Sports UFC 3","Fighting, Sports","EA Canada","EA Sports","Feb 2, 2018","Feb 2, 2018","Feb 2, 2018","",""
"EA Sports UFC 4","Fighting, Sports","EA Canada","EA Sports","Aug 14, 2020","Aug 14, 2020","Aug 14, 2020","",""
"Earth Atlantis","Shoot 'em up","Pixel Perfex","Headup Games","Unreleased","Jun 1, 2018","Jun 1, 2018","",""
"Earthfall","Action, Shooter","Holospark Games","Holospark Games","Jul 13, 2018","Jul 13, 2018","Jul 13, 2018","",""
"Earthlock: Festival of Magic","Role-playing","Snowcastle Games","Snowcastle Games","Sep 1, 2016","Sep 1, 2016","Sep 1, 2016","",""
"Earth Wars","Action","OneorEight","Rising Star Games","Sep 18, 2015","Nov 1, 2016","Nov 1, 2016","",""
"Eastshade","Adventure","Eastshade Studios","Eastshade Studios","Oct 20, 2019","Oct 21, 2019","Oct 21, 2019","",""
"Echoes of the Fey: The Fox's Trail","Adventure","Woodsy Studio","Woodsy Studio","Aug 31, 2017","Aug 31, 2017","Aug 31, 2017","",""
"Edgar: Bokbok in Boulzac","Adventure, point & click","La Poule Noire","La Poule Noire","Unreleased","Feb 26, 2020","Feb 26, 2020","",""
"Edna & Harvey: Harvey's New Eyes","Point & click adventure","Daedalic Entertainment","Daedalic Entertainment","Aug 14, 2019","Aug 14, 2019","Aug 14, 2019","",""
"Edna & Harvey: The Breakout","Point & click adventure","Daedalic Entertainment","Daedalic Entertainment","Jun 17, 2020","Jun 17, 2020","Jun 17, 2020","",""
"Eekeemoo: Splinters of the Dark Shard","Platform, Puzzle","Cogg Games","Cogg Games","Mar 3, 2017","Mar 3, 2017","Mar 3, 2017","",""
"eFootball Pro Evolution Soccer 2020","Sports","Konami","Konami","Unreleased","Sep 10, 2019","Sep 9, 2019","X",""
"Eiyuden Chronicle: Hundred Heroes","Japanese role-playing","Rabbit & Bear Studios","505 Games","2023","2023","2023","","[52]"
"Eiyuden Chronicle: Rising","Japanese role-playing","Rabbit & Bear Studios","505 Games","May 10, 2022","May 10, 2022","May 10, 2022","","[53]"
"Elden Ring","Action role-playing","FromSoftware","Bandai Namco Entertainment","Feb 25, 2022","Feb 25, 2022","Feb 25, 2022","",""
"The Elder Scrolls V: Skyrim - Special Edition","Action role-playing","Bethesda Game Studios","Bethesda Softworks","Oct 28, 2016","Oct 28, 2016","Oct 28, 2016","X  FPSB",""
"The Elder Scrolls Online","Massively multiplayer online role-playing","ZeniMax Online Studios","Bethesda Softworks","Jun 9, 2015","Jun 9, 2015","Jun 9, 2015","X",""
"Electronic Super Joy","Platformer","Loot Interactive","Michael Todd Games","Jan 20, 2016","Jan 20, 2016","Jan 20, 2016","",""
"ELEX","Action role-playing","Piranha Bytes","THQ Nordic","Oct 17, 2017","Oct 17, 2017","Oct 17, 2017","",""
"ELEX II","Action role-playing","Piranha Bytes","THQ Nordic","Unreleased","Mar 1, 2022","Mar 1, 2022","",""
"Elderborn","Action","Hyperstrange","Hyperstrange","TBA","TBA","TBA","",""
"Elea","Adventure","Kyodai","Soedesco","Sep 6, 2018","Sep 6, 2018","Sep 6, 2018","X",""
"Element Space","Tactics, strategy","Sixth Vowel","Blowfish Studios","Mar 23, 2020","Mar 24, 2020","Mar 23, 2020","X",""
"Elite: Dangerous","Space trading and combat","Frontier Developments","Frontier Developments","Oct 6, 2015","Oct 6, 2015","Oct 6, 2015","X",""
"Elite Dangerous: Arena","Space trading and combat","Frontier Developments","Frontier Developments","Apr 26, 2016","Apr 26, 2016","Apr 26, 2016","",""
"Ellen: The Game","Horror, Adventure","Red Mount Media","JanduSoft","Sep 13, 2019","Sep 13, 2019","Sep 13, 2019","",""
"Elliot Quest","Platform-adventure, Metroidvania","Ansimuz Games","Ansimuz Games","May 11, 2017","May 11, 2017","May 11, 2017","",""
"Embers of Mirrim","Adventure, Platformer","Creative Bytes","Creative Bytes","May 23, 2017","May 23, 2017","May 23, 2017","",""
"Emily Wants to Play","Survival horror","Shawn Hitchcock","SKH Apps","Sep 9, 2016","Sep 9, 2016","Sep 9, 2016","",""
"Emily Wants to Play Too","Survival horror","SKH Apps","SKH Apps","Apr 25, 2018","Apr 25, 2018","Apr 25, 2018","",""
"Empire of Angels IV","Tactical role-playing","Softstar Entertainment","EastAsiaSoft","Jun 23, 2021","Jun 23, 2021","Jun 23, 2021","",""
"Ender Lilies: Quietus of the Knights","Metroidvania","Live WireAdglobe","Binary Haze Interactive","Jun 29, 2021","Jun 29, 2021","Jun 29, 2021","",""
"Energy Cycle","Puzzle","Sometimes You","Sometimes You","Dec 6, 2016","Dec 6, 2016","Dec 6, 2016","",""
"Energy Cycle Edge","Puzzle","Sometimes You","Sometimes You","Dec 5, 2018","Dec 5, 2018","Dec 5, 2018","X",""
"Enigmatis: The Ghosts of Maple Creek","Point & Click","Artifex Mundi","Artifex Mundi","Unreleased","Apr 8, 2016","Apr 8, 2016","",""
"Enigmatis 2: The Mists of Ravenwood","Point & Click","Artifex Mundi","Artifex Mundi","Unreleased","Nov 24, 2016","Nov 24, 2016","",""
"Enigmatis 3: The Shadow of Karkhala","Point & Click","Artifex Mundi","Artifex Mundi","Unreleased","Apr 6, 2018","Apr 6, 2018","",""
"Enlisted","First-person shooter","DarkFlow Software","Gaijin Entertainment","Nov 10, 2020","Nov 10, 2020","Nov 10, 2020","",""
"Enter the Gungeon","Roguelike, shoot 'em up","Dodge Roll","Devolver Digital","Apr 5, 2017","Apr 5, 2017","Apr 5, 2017","PA  PC",""
"Epic Loon","Platformer","Macrales Studio","Ukuza","Jun 28, 2018","Jun 28, 2018","Jun 28, 2018","",""
"The Escapists","Action","Mouldy Toof Studios","Team17","Feb 13, 2015","Feb 13, 2015","Feb 13, 2015","",""
"The Escapists 2","Action","Mouldy Toof Studios","Team17","Aug 22, 2017","Aug 22, 2017","Aug 22, 2017","",""
"The Escapists: The Walking Dead","Action","Team17","Team17","Sep 25, 2016","Sep 25, 2016","Sep 25, 2016","",""
"ESports Life Tycoon","Simulation","U-Play Online","Raiser Games","Unreleased","Nov 12, 2020","Nov 12, 2020","",""
"Eternity: The Last Unicorn","Action role-playing","Void Games","1C Company","Unreleased","Apr 16, 2019","Apr 16, 2019","",""
"Eternum Ex","Platformer","Flynn's Arcade","Zerouno","Dec 10, 2019","Dec 10, 2019","Dec 10, 2019","",""
"Ethan: Meteor Hunter","Puzzle, Platform","Seaven Studio","Seaven Studio","Unreleased","Jul 1, 2016","Jul 1, 2016","",""
"Etherborn","Puzzle-platformer","Altered Matter","Altered Matter","Unreleased","Jul 18, 2019","Jul 18, 2019","",""
"Eventide: Slavic Fable","Point & Click Adventure, Hidden Objects","Artifex Mundi","Artifex Mundi","Sep 22, 2016","Sep 22, 2016","Sep 22, 2016","",""
"Eventide 2: Sorcerer's Mirror","Point & Click Adventure, Hidden Objects","Artifex Mundi","Artifex Mundi","Aug 25, 2017","Aug 25, 2017","Aug 25, 2017","",""
"Eventide 3: Legacy of Legends","Point & Click Adventure, Hidden Objects","The House of Fables","Artifex Mundi","Unreleased","Jun 29, 2018","Jun 29, 2018","X",""
"Ever Forward","Puzzle adventure","Pathea Games","PM Studios","Unreleased","Aug 10, 2021","Aug 10, 2021","",""
"Evergate","Puzzle-platform","Stone Lantern Games","PQube","Nov 10, 2020","Nov 10, 2020","Nov 10, 2020","",""
"Everreach: Project Eden","Action-adventure","Elder Games","Headup Games","Unreleased","Dec 4, 2019","Dec 4, 2019","",""
"Everspace","Shooter","Rockfish Games","Rockfish Games","May 26, 2017","May 26, 2017","May 26, 2017","PA",""
"Evertried","Rougelike","Lunic Games","Dangen Entertainment","Unreleased","Oct 21, 2021","Oct 21, 2021","",""
"Evil Dead: The Game","Horror","Boss Team Games","Saber Interactive","Unreleased","May 13, 2022","May 13, 2022","",""
"Evil Genius 2: World Domination","Real-time strategysimulation","Rebellion Developments","Rebellion Developments","Unreleased","Nov 30, 2021","Nov 30, 2021","",""
"The Evil Within","Survival horror","Tango Gameworks","Bethesda Softworks","Oct 23, 2014","Oct 14, 2014","Oct 16, 2014","",""
"The Evil Within 2","Survival horror","Tango Gameworks","Bethesda Softworks","Oct 19, 2017","Oct 13, 2017","Oct 13, 2017","X",""
"Evoland Legendary Edition","Role-playing","Shiro Games","Shiro Games","Unreleased","Feb 8, 2019","Feb 7, 2019","X",""
"Evolve","First-person shooter","Turtle Rock Studios","2K Games","Mar 5, 2015","Feb 10, 2015","Feb 10, 2015","",""
"Exception","Action-platformer","Traxmaster Software","Traxmaster Software","Aug 13, 2019","Aug 13, 2019","Aug 13, 2019","",""
"Exile's End","Metroidvania","Magnetic Realms","Magnetic Realms","Oct 25, 2016","Oct 25, 2016","Oct 25, 2016","",""
"Exophobia","First-person shooter","Zarc Attack","PM Studios","Unreleased","Jul 23, 2024","Jul 23, 2024","","[54]"
"Explosive Jake","Arcade, action","PigeonDev","Sometimes You","Mar 18, 2020","Mar 18, 2020","Mar 18, 2020","",""
"Extinction","Action & Adventure","Iron Galaxy","Maximum Games","Unreleased","Apr 10, 2018","Apr 10, 2018","",""
"Extreme Exorcism","Platform Game","Golden Ruby Games","Ripstone","Unreleased","Sep 23, 2015","Sep 23, 2015","","[55]"
"ExZeus: The Complete Collection","Rail shooter","Sickhead Games","Zigguat Interactive","Sep 30, 2021","Sep 30, 2021","Sep 30, 2021","","[56][57]"
"F1 2015","Sim racing","Codemasters","Codemasters","Jul 10, 2015","Jul 30, 2015","Jul 21, 2015","",""
"F1 2016","Sim racing","Codemasters","Codemasters","Aug 19, 2016","Aug 19, 2016","Aug 19, 2016","",""
"F1 2017","Sim racing","Codemasters","Codemasters","Oct 16, 2017","Oct 16, 2017","Oct 16, 2017","X",""
"F1 2018","Sim racing","Codemasters","Codemasters","Aug 24, 2018","Aug 24, 2018","Aug 24, 2018","X",""
"F1 2019","Sim racing","Codemasters","Codemasters","Sep 18, 2019","Jun 28, 2019","Jun 28, 2019","",""
"F1 2020","Sim racing","Codemasters","Codemasters","Sep 23, 2020","Jul 10, 2020","Jul 10, 2020","",""
"F1 2021","Sim racing","Codemasters","EA Sports","Jul 16, 2021","Jul 16, 2021","Jul 16, 2021","",""
"F1 22","Sim racing","Codemasters","EA Sports","Jul 1, 2022","Jul 1, 2022","Jul 1, 2022","",""
"F1 23","Sim racing","Codemasters","EA Sports","Jun 16, 2023","Jun 16, 2023","Jun 16, 2023","",""
"F1 24","Sim racing","Codemasters","EA Sports","May 31, 2024","May 31, 2024","May 31, 2024","",""
"F1 Manager 2022","Racing management","Frontier Developments","Frontier Developments","Aug 30, 2022","Aug 30, 2022","Aug 30, 2022","",""
"F1 Manager 2023","Racing management","Frontier Developments","Frontier Developments","Jul 31, 2023","Jul 31, 2023","Jul 31, 2023","",""
"F1 Manager 2024","Racing management","Frontier Developments","Frontier Developments","Jul 23, 2024","Jul 23, 2024","Jul 23, 2024","",""
